"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 21 14:17:48 CST 2023","Tue Feb 21 14:17:48 CST 2023","145","TestCase.hms","test_alarm","","","","testQueryActiveAlarm",""
"failed","Tue Feb 21 14:36:29 CST 2023","Tue Feb 21 14:38:13 CST 2023","104180","TestCase.ue","test_cpe","","","","testBlockAndUnblockCellAccessSuccRate[1]",""
"failed","Tue Feb 21 14:34:45 CST 2023","Tue Feb 21 14:36:29 CST 2023","104205","TestCase.ue","test_cpe","","","","testDeactiveAndActiveCellAccessSuccRate[1]",""
"broken","Tue Feb 21 14:24:39 CST 2023","Tue Feb 21 14:33:00 CST 2023","501715","TestCase.hms","test_version","","","","testVersionSmoke",""
"failed","Tue Feb 21 14:17:49 CST 2023","Tue Feb 21 14:24:39 CST 2023","410162","TestCase.hms","test_gnb","","","","testRebootGnbAndPing[1]",""
"failed","Tue Feb 21 14:33:01 CST 2023","Tue Feb 21 14:34:45 CST 2023","104194","TestCase.ue","test_cpe","","","","testRebootGnbAccessSuccRate[1]",""
